id,query,label,word_count,cleaned_query,augmented_data,tokens,lemmatized_data
2112,نحوه انتخاب واحد چگونه است؟,1,6.0,نحوه انتخاب واحد چگونه است,قواعد تفسیر واحد چگونه است,"['نحوه', 'انتخاب', 'واحد', 'چگونه', 'است']","['نحوه', 'انتخاب', 'واحد', 'چگونه', '#است']"
2113,سیستم ها وبکم داره؟,3,5.0,سیستم‌ها وبکم داره,فلش وبکم داره,"['سیستم\u200cها', 'وبکم', 'داره']","['سیستم\u200cها', 'وبکم', 'داره']"
2114,کی برای زمان بندی مسئوله؟,2,6.0,کی برای زمان بندی مسئوله,کی برای شخصیت بندی به,"['کی', 'زمان', 'بندی', 'مسئوله']","['کی', 'زمان', 'بست#بند', 'مسئوله']"
2115,فلان استاد اعتراض ها رو اصلا نمیبینه,4,7.0,فلان استاد اعتراض‌ها رو اصلا نمیبینه,حرف استاد بزرگ رو اصلا ؟,"['فلان', 'استاد', 'اعتراض\u200cها', 'اصلا', 'نمیبینه']","['فلان', 'استاد', 'اعتراض', 'اصلا', 'نمیبینه']"
2116,منبع امتحانی هوش مصنوهی کدام کتاب هست؟,3,8.0,منبع امتحانی هوش مصنوهی کدام کتاب هست,ارزش ادبی هوش مصنوهی همین کتاب هست,"['منبع', 'امتحانی', 'هوش', 'مصنوهی', 'کدام', 'کتاب', 'هست']","['منبع', 'امتحان', 'هوش', 'مصنوهی', 'کدام', 'کتاب', '#هست']"
2117,بازه امتحانات پایان ترم نیمسال دوم تحصیلی 1400 چگونه است؟,1,11.0,بازه امتحانات پایان ترم نیمسال دوم تحصیلی چگونه است,بازه امتحانات هر ترم نیمسال اول تحصیلی اول است,"['بازه', 'امتحانات', 'پایان', 'ترم', 'نیمسال', 'دوم', 'تحصیلی', 'چگونه', 'است']","['بازه', 'امتحانات', 'پایان', 'تر', 'نیمسال', 'دوم', 'تحصیل', 'چگونه', '#است']"
2118,اگر مشروط شوم چند واحد می توانم اخذ کنم؟,1,10.0,اگر مشروط شوم چند واحد می‌توانم اخذ کنم,می مشروط شوم چند واحد حقوق اخذ بکنم,"['اگر', 'مشروط', 'شوم', 'چند', 'واحد', 'می\u200cتوانم', 'اخذ', 'کنم']","['اگر', 'مشروط', 'شوم', 'چند', 'واحد', 'توانست#توان', 'اخذ', 'کرد#کن']"
2119,میتونیم از سایت برای برگذاری مسابقه استفاده کنیم؟,3,9.0,میتونیم از سایت برای برگذاری مسابقه استفاده کنیم,میتونیم ازین کامپیوتر برای برگذاری مسابقه استفاده کردیم,"['میتونیم', 'سایت', 'برگذاری', 'مسابقه', 'استفاده', 'کنیم']","['میتونیم', 'سایت', 'برگذاری', 'مسابقه', 'استفاده', 'کرد#کن']"
2120,در سیستم گلستان اجازه دیدن رتبه معدل هر شخص را به او بدهید.,4,14.0,در سیستم گلستان اجازه دیدن رتبه معدل هر شخص را به او بدهید,این سیستم گلستان امکان دیدن شمارههای اعتباری هر شخص را به او بدهید,"['سیستم', 'گلستان', 'اجازه', 'دیدن', 'رتبه', 'معدل', 'هر', 'شخص', 'بدهید']","['سیستم', 'گلستان', 'اجازه', 'دیدن', 'رتبه', 'معدل', 'هر', 'شخص', 'داد#ده']"
2121,چطور می تونم مدرک آزاد کنم؟,1,7.0,چطور می‌تونم مدرک آزاد کنم,چطور میتونم مدرک بگیرم بخونم,"['چطور', 'می\u200cتونم', 'مدرک', 'آزاد', 'کنم']","['چطور', 'می\u200cتونم', 'مدرک', 'آزاد', 'کرد#کن']"
2122,چگونه می توانم فلان کتاب را پیدا کنم ؟,3,9.0,چگونه می‌توانم فلان کتاب را پیدا کنم,چگونه میتوانستم مجدد کتاب را ترجمه کنم,"['چگونه', 'می\u200cتوانم', 'فلان', 'کتاب', 'پیدا', 'کنم']","['چگونه', 'توانست#توان', 'فلان', 'کتاب', 'پیدا', 'کرد#کن']"
2123,سالن فوتبال بازه یا نه؟,5,6.0,سالن فوتبال بازه یا نه,پس فوتبال باید یا نه,"['سالن', 'فوتبال', 'بازه', 'نه']","['سالن', 'فوتبال', 'بازه', 'نه']"
2124,جریمه هم داریم؟,3,4.0,جریمه هم داریم,جریمه هم ؟,"['جریمه', 'هم', 'داریم']","['جریمه', 'هم', 'داشت#دار']"
2125,باید نظرسنجی اساتید رو پر کنیم ؟,1,7.0,باید نظرسنجی اساتید رو پر کنیم,چگونه خلا اساتید رو پر کنیم,"['باید', 'نظرسنجی', 'اساتید', 'پر', 'کنیم']","['باید', 'نظرسنجی', 'اساتید', 'پر', 'کرد#کن']"
2126,اتاق بازی را درست نمیکنید؟,4,6.0,اتاق بازی را درست نمیکنید,اصلا بازی بازی درست نمیکنید,"['اتاق', 'بازی', 'درست', 'نمیکنید']","['اتاق', 'بازی', 'درست', 'نمیکنید']"
2127,کتاب هوش دارید؟,3,4.0,کتاب هوش دارید,کتاب هوش ؟,"['کتاب', 'هوش', 'دارید']","['کتاب', 'هوش', 'داشت#دار']"
2128,کجا میتوانم معماون اموزشی دانشکده کامپیوتر را ببینم؟,2,9.0,کجا میتوانم معماون اموزشی دانشکده کامپیوتر را ببینم,حتی میتوانم سیستمهای اموزشی علوم کامپیوتر را ببینم,"['کجا', 'میتوانم', 'معماون', 'اموزشی', 'دانشکده', 'کامپیوتر', 'ببینم']","['کجا', 'میتوانم', 'معماون', 'اموزشی', 'دانشکده', 'کامپیوتر', 'ببینم']"
2129,رتبه من بین هم ورودی هایم چنده؟,1,8.0,رتبه من بین هم ورودی هایم چنده,چه برتر بین هم ورودی هایم …,"['رتبه', 'بین', 'هم', 'ورودی', 'هایم', 'چنده']","['رتبه', 'بین', 'هم', 'ورود', 'هایم', 'چنده']"
2130,از کجا می توان کارت دانشجویی تهیه کرد؟,2,9.0,از کجا می‌توان کارت دانشجویی تهیه کرد,از کجا میتوان اسناد دانشجویی صادر کردند,"['کجا', 'می\u200cتوان', 'کارت', 'دانشجویی', 'تهیه', 'کرد']","['کجا', 'می\u200cتوان', 'کارت', 'دانشجویی', 'تهیه', 'کرد#کن']"
2131,کدوم دانشکده به دانشکمون نزدیکتره؟,5,6.0,کدوم دانشکده به دانشکمون نزدیکتره,کدوم ترم این دانشگاه نزدیکتره,"['کدوم', 'دانشکده', 'دانشکمون', 'نزدیکتره']","['کدو', 'دانشکده', 'دانشکمون', 'نزدیکتره']"
2133,کمیته انضباطی در کدام طبقه است؟,2,7.0,کمیته انضباطی در کدام طبقه است,کاروان پارالمپیک در کدام طبقه است,"['کمیته', 'انضباطی', 'کدام', 'طبقه', 'است']","['کمیته', 'انضباط', 'کدام', 'طبقه', '#است']"
2134,چرا وظایف استاد راهنما ها و نحوه بهره بردن از آن ها را به ما نمیگویید؟,4,17.0,چرا وظایف استاد راهنما‌ها و نحوه بهره بردن از آن‌ها را به ما نمیگویید,چرا وظایف استاد اینه درمورد نحوه بهره بردن از دانش دیگر به ندانید نمیگویید,"['چرا', 'وظایف', 'استاد', 'راهنما\u200cها', 'نحوه', 'بهره', 'بردن', 'آن\u200cها', 'نمیگویید']","['چرا', 'وظایف', 'استاد', 'راهنما', 'نحوه', 'بهره', 'بردن', 'آن', 'نمیگویید']"
2135,امتحانات کی شروع میشه؟,1,5.0,امتحانات کی شروع میشه,زندگی بعدی شروع میشه,"['امتحانات', 'کی', 'شروع', 'میشه']","['امتحانات', 'کی', 'شروع', 'میشه']"
2136,دیپلم را تا کی میتوانیم تحویل دهیم؟,1,8.0,دیپلم را تا کی میتوانیم تحویل دهیم,هواپیما را هم کی خواهیم تحویل دهیم,"['دیپلم', 'کی', 'میتوانیم', 'تحویل', 'دهیم']","['دیپلم', 'کی', 'میتوانیم', 'تحویل', 'داد#ده']"
2137,لطفا زمان استراحت بین دو ترم را بیشتر کنید.,4,10.0,لطفا زمان استراحت بین دو ترم را بیشتر کنید,لطفا زمان استراحت کردن هر ترم را تقسیم کنید,"['لطفا', 'زمان', 'استراحت', 'بین', 'دو', 'ترم', 'بیشتر', 'کنید']","['لطفا', 'زمان', 'استراحت', 'بین', 'دو', 'تر', 'بیشتر', 'کرد#کن']"
2138,سیستم ها به اینترنت وصل هستند؟,3,7.0,سیستم‌ها به اینترنت وصل هستند,سیستمها به زمین متصل هستند,"['سیستم\u200cها', 'اینترنت', 'وصل', 'هستند']","['سیستم\u200cها', 'اینترنت', 'وصل', '#هست']"
2139,کتابی که از کتابخونه دانشکده گرفتم را به کتابخانه مرکزی میتوانم تحویل دهم؟,3,14.0,کتابی که از کتابخونه دانشکده گرفتم را به کتابخانه مرکزی میتوانم تحویل دهم,اطلاعات حسابی از سوی دانشکده گرفتم را به کتابخانه دانشکده میتوانم منتقل دهم,"['کتابی', 'کتابخونه', 'دانشکده', 'گرفتم', 'کتابخانه', 'مرکزی', 'میتوانم', 'تحویل', 'دهم']","['کتاب', 'کتابخونه', 'دانشکده', 'گرفت#گیر', 'کتابخانه', 'مرکزی', 'میتوانم', 'تحویل', 'دهم']"
2140,از اینجا چجوری میشه رفت گالریا؟,5,7.0,از اینجا چجوری میشه رفت گالریا,تا اینجا کلی میشه رفت گالریا,"['اینجا', 'چجوری', 'میشه', 'رفت', 'گالریا']","['اینجا', 'چجوری', 'میشه', 'رفت#رو', 'گالریا']"
2141,آیا میشه کتاب سفارش داد که برامون بیارین؟,3,9.0,آیا میشه کتاب سفارش داد که برامون بیارین,ایا قراره کتاب زیادی خرید که برامون بیارین,"['آیا', 'میشه', 'کتاب', 'سفارش', 'داد', 'برامون', 'بیارین']","['آیا', 'میشه', 'کتاب', 'سفارش', 'داد', 'برامون', 'بیارین']"
2142,اتاق دکتر شمس فرد کدام طبقه است؟,2,8.0,اتاق دکتر شمس فرد کدام طبقه است,اتاق عمل هر فرد کدام نهاد است,"['اتاق', 'دکتر', 'شمس', 'فرد', 'کدام', 'طبقه', 'است']","['اتاق', 'دکتر', 'شمس', 'فرد', 'کدام', 'طبقه', '#است']"
2143,چند نوع درس داریم ؟,1,5.0,چند نوع درس داریم,چند جفت کفش داریم,"['چند', 'نوع', 'درس', 'داریم']","['چند', 'نوع', 'درس', 'داشت#دار']"
2144,تاریخ حذف و اضافه این ترم تا کی است؟,1,10.0,تاریخ حذف و اضافه این ترم تا کی است,تاریخ حذف ، تعویض این ارقام تا کی است,"['تاریخ', 'حذف', 'اضافه', 'این', 'ترم', 'کی', 'است']","['تاریخ', 'حذف', 'اضافه', 'این', 'تر', 'کی', '#است']"
2145,یکی از میز های لابی شکسته لطفا آن را تعمیر کنید.,4,12.0,یکی از میز‌های لابی شکسته لطفا آن را تعمیر کنید,هرچه از مواد لابی شکسته است ان را تعمیر کنید,"['یکی', 'میز\u200cهای', 'لابی', 'شکسته', 'لطفا', 'آن', 'تعمیر', 'کنید']","['یک', 'میز', 'لابی', 'شکسته', 'لطفا', 'آن', 'تعمیر', 'کرد#کن']"
2146,کلاس های قبل از عید تا چه زمانی برگزار می شوند؟,1,12.0,کلاس‌های قبل از عید تا چه زمانی برگزار می‌شوند,این تقویم از عید تا چه حد برگزار میشوند,"['کلاس\u200cهای', 'قبل', 'عید', 'چه', 'زمانی', 'برگزار', 'می\u200cشوند']","['کلاس', 'قبل', 'عید', 'چه', 'زمان', 'برگزار', 'شد#شو']"
2147,شبکه های تلفن همراه در دانشگاه با اختلال مواجه است,4,10.0,شبکه‌های تلفن همراه در دانشگاه با اختلال مواجه است,شبکههای تلفن همراه در کشور به اختلال برخورده است,"['شبکه\u200cهای', 'تلفن', 'همراه', 'دانشگاه', 'اختلال', 'مواجه', 'است']","['شبکه', 'تلفن', 'همراه', 'دانشگاه', 'اختلال', 'مواجه', '#است']"
2148,نحوه انجام انتخاب واحد چگونه است؟,1,7.0,نحوه انجام انتخاب واحد چگونه است,روال انجام انتخاب واحد موجود است,"['نحوه', 'انجام', 'انتخاب', 'واحد', 'چگونه', 'است']","['نحوه', 'انجام', 'انتخاب', 'واحد', 'چگونه', '#است']"
2149,داشتن ددلاین در ایام امتحانات درست نیست.,4,8.0,داشتن ددلاین در ایام امتحانات درست نیست,داشتن ددلاین در عید نوروز ضروری نیست,"['داشتن', 'ددلاین', 'ایام', 'امتحانات', 'درست', 'نیست']","['داشتن', 'ددلاین', 'ایام', 'امتحانات', 'درست', 'نیست']"
2150,ایا می توانم روی کامپیوتر سایت چیزی ذخیره کنم؟,3,10.0,ایا می‌توانم روی کامپیوتر سایت چیزی ذخیره کنم,اگر میتوانم روی کامپیوتر خود چیزی تنظیم کنم,"['ایا', 'می\u200cتوانم', 'روی', 'کامپیوتر', 'سایت', 'چیزی', 'ذخیره', 'کنم']","['ایا', 'توانست#توان', 'روی', 'کامپیوتر', 'سایت', 'چیز', 'ذخیره', 'کرد#کن']"
2152,چرا پله های دانشکده کثیف است؟,4,7.0,چرا پله‌های دانشکده کثیف است,چرا پلههای ساختمانی سنگین است,"['چرا', 'پله\u200cهای', 'دانشکده', 'کثیف', 'است']","['چرا', 'پله', 'دانشکده', 'کثیف', '#است']"
2153,برای معافیت سربازی کجا باید برم؟,1,7.0,برای معافیت سربازی کجا باید برم,برای ازمون سربازی کجا هستم برم,"['معافیت', 'سربازی', 'کجا', 'باید', 'برم']","['معافیت', 'سرباز', 'کجا', 'باید', 'برد#بر']"
2154,چرا دانشگاه ما شورای صنفی ندارد؟,4,7.0,چرا دانشگاه ما شورای صنفی ندارد,چرا دانشگاه ما استاد روانشناسی ندارد,"['چرا', 'دانشگاه', 'شورای', 'صنفی', 'ندارد']","['چرا', 'دانشگاه', 'شورا', 'صنف', 'داشت#دار']"
2155,کسی خودکار من را دیده؟,5,6.0,کسی خودکار من را دیده,مادر قصه من را دیده,"['کسی', 'خودکار', 'دیده']","['کس', 'خودکار', 'دیده']"
2156,قفسه ی ریاضایات کجاست؟,3,5.0,قفسه‌ی ریاضایات کجاست,قفسهی من »,"['قفسه\u200cی', 'ریاضایات', 'کجاست']","['قفسه', 'ریاضایات', 'کجاست']"
2157,مدارک ثبت نام؟,1,4.0,مدارک ثبت نام,مدارک کسب نام,"['مدارک', 'ثبت', 'نام']","['مدارک', 'ثبت', 'نام']"
2158,آیا می توانم در یک ترم کمتر از دوازده واحد اخذ کنم؟,1,13.0,آیا می‌توانم در یک ترم کمتر از دوازده واحد اخذ کنم,امروز میتوانم تو یک مسابقه کمتر از دوازده امتیاز اخذ کنم,"['آیا', 'می\u200cتوانم', 'یک', 'ترم', 'کمتر', 'دوازده', 'واحد', 'اخذ', 'کنم']","['آیا', 'توانست#توان', 'یک', 'تر', 'کمتر', 'دوازده', 'واحد', 'اخذ', 'کرد#کن']"
2159,آخرین چاپ کتاب هوش مال چه زمانیه؟,3,8.0,آخرین چاپ کتاب هوش مال چه زمانیه,اخرین چاپ کتاب لقاح مصنوعی چه معناست,"['آخرین', 'چاپ', 'کتاب', 'هوش', 'مال', 'چه', 'زمانیه']","['آخرین', 'چاپ', 'کتاب', 'هوش', 'مال', 'چه', 'زمانیه']"
2161,کدام در دانشگاه به دانشکده نزدیکتره؟,2,7.0,کدام در دانشگاه به دانشکده نزدیکتره,کدام در باشگاه ؟ دانشکده ؟,"['کدام', 'دانشگاه', 'دانشکده', 'نزدیکتره']","['کدام', 'دانشگاه', 'دانشکده', 'نزدیکتره']"
2162,این ترم درس نظریه بازی ها ارائه میشه؟,1,9.0,این ترم درس نظریه بازی‌ها ارائه میشه,این ترم درس اساسی بازیها تلقی شد,"['این', 'ترم', 'درس', 'نظریه', 'بازی\u200cها', 'ارائه', 'میشه']","['این', 'تر', 'درس', 'نظریه', 'بازی', 'ارائه', 'میشه']"
2163,نمره دروس افتاده هم در معدل حساب میشود؟,1,9.0,نمره دروس افتاده هم در معدل حساب میشود,تازه دروس افتاده هم در ستون حساب ؟,"['نمره', 'دروس', 'افتاده', 'هم', 'معدل', 'حساب', 'میشود']","['نمره', 'دروس', 'افتاده', 'هم', 'معدل', 'حساب', 'میشود']"
2164,دانشگاه برا آلودگی تعطیله یا نه؟,5,7.0,دانشگاه برا آلودگی تعطیله یا نه,کار ازاد خود تعطیله یا نه,"['دانشگاه', 'برا', 'آلودگی', 'تعطیله', 'نه']","['دانشگاه', 'برا', 'آلودگی', 'تعطیله', 'نه']"
2165,با چه خودکاری باید امتحان را بنویسیم؟,5,8.0,با چه خودکاری باید امتحان را بنویسیم,با سخنرانیهای خودکاری میتوانیم امتحان را دریابیم,"['چه', 'خودکاری', 'باید', 'امتحان', 'بنویسیم']","['چه', 'خودکار', 'باید', 'امتحان', 'نوشت#نویس']"
2166,در انتخاب واحد زیر 12 واحد به من رسیده، چه کار کنم؟,1,14.0,در انتخاب واحد زیر واحد به من رسیده چه کار کنم,در ان واحد زیر واحد به موقع رسیده سر کار ؟,"['انتخاب', 'واحد', 'زیر', 'واحد', 'رسیده', 'چه', 'کار', 'کنم']","['انتخاب', 'واحد', 'زیر', 'واحد', 'رسیده', 'چه', 'کار', 'کرد#کن']"
2167,ریاضی 1 رو چه افرادی ارائه میدهند؟,1,8.0,ریاضی رو چه افرادی ارائه میدهند,ریاضی رو به افرادی شکل میدهند,"['ریاضی', 'چه', 'افرادی', 'ارائه', 'میدهند']","['ریاضی', 'چه', 'افراد', 'ارائه', 'میدهند']"
2168,رضایت دانشجو ها از دانشکده چقدره؟,5,7.0,رضایت دانشجو‌ها از دانشکده چقدره,سرخوردگی دانشجوها از تحقیقات چقدره,"['رضایت', 'دانشجو\u200cها', 'دانشکده', 'چقدره']","['رضایت', 'دانشجو', 'دانشکده', 'چقدره']"
2169,برنامه کلاس ها کجاست,1,4.0,برنامه کلاس‌ها کجاست,برنامه ما کجاست,"['برنامه', 'کلاس\u200cها', 'کجاست']","['برنامه', 'کلاس', 'کجاست']"
2170,آسانسور فقط برای اساتیده؟,2,5.0,آسانسور فقط برای اساتیده,اسانسور سلام با اساتیده,"['آسانسور', 'فقط', 'اساتیده']","['آسانسور', 'فقط', 'اساتیده']"
2171,دانشگاه چه ساعتی باز میکند؟,2,6.0,دانشگاه چه ساعتی باز میکند,دانشگاه برای ساعتی باز ؟,"['دانشگاه', 'چه', 'ساعتی', 'باز', 'میکند']","['دانشگاه', 'چه', 'ساعت', 'باز', 'میکند']"
2172,آیا امکان برداشت دروس عمومی در ترم یک وجود دارد ؟,1,11.0,آیا امکان برداشت دروس عمومی در ترم یک وجود دارد,هنوز توان برداشت دروس پیشین در ترم یک وجود دارد,"['آیا', 'امکان', 'برداشت', 'دروس', 'عمومی', 'ترم', 'یک', 'وجود', 'دارد']","['آیا', 'امکان', 'برداشت', 'دروس', 'عموم', 'تر', 'یک', 'وجود', 'داشت#دار']"
2174,حداقل تعداد واحد ها در یک ترم ؟,1,8.0,حداقل تعداد واحد‌ها در یک ترم,حداقل معدل واحدها در هر ترم,"['حداقل', 'تعداد', 'واحد\u200cها', 'یک', 'ترم']","['حداقل', 'تعداد', 'واحد', 'یک', 'تر']"
2175,اتوبوس خوابگاه کی حرکت میکند؟,2,6.0,اتوبوس خوابگاه کی حرکت میکند,این خوابگاه کی حرکت کند,"['اتوبوس', 'خوابگاه', 'کی', 'حرکت', 'میکند']","['اتوبوس', 'خوابگاه', 'کی', 'حرکت', 'میکند']"
2176,در چه سایتی انتخاب واحد انجام میشود ؟,1,8.0,در چه سایتی انتخاب واحد انجام میشود,در چه حالتی انتخاب سوژهها بررسی میشود,"['چه', 'سایتی', 'انتخاب', 'واحد', 'انجام', 'میشود']","['چه', 'سایتی', 'انتخاب', 'واحد', 'انجام', 'میشود']"
2177,اتاق فلان استاد کجاس ؟,2,5.0,اتاق فلان استاد کجاس,اتاق ایران امریکا کجاس,"['اتاق', 'فلان', 'استاد', 'کجاس']","['اتاق', 'فلان', 'استاد', 'کجاس']"
2178,بعد از فارغ تحصیلی کجا می توان شروع به کار کرد؟,5,12.0,بعد از فارغ تحصیلی کجا می‌توان شروع به کار کرد,بعد از فارغ تحصیلی چگونه ؟ شروع به کار کنیم,"['بعد', 'فارغ', 'تحصیلی', 'کجا', 'می\u200cتوان', 'شروع', 'کار', 'کرد']","['بعد', 'فارغ', 'تحصیل', 'کجا', 'می\u200cتوان', 'شروع', 'کار', 'کرد#کن']"
2179,امسال ورودی ها بیش از حده,4,6.0,امسال ورودی‌ها بیش از حده,امسال ورودیها بیشتر از گذشته,"['امسال', 'ورودی\u200cها', 'بیش', 'حده']","['امسال', 'ورودی\u200cها', 'بیش', 'حده']"
2180,چجوری از سرور دانشگاه استفاده کنم؟,3,7.0,چجوری از سرور دانشگاه استفاده کنم,چجوری از این دانشگاه دفاع کنم,"['چجوری', 'سرور', 'دانشگاه', 'استفاده', 'کنم']","['چجوری', 'سرور', 'دانشگاه', 'استفاده', 'کرد#کن']"
2181,سایت دانشکده چه زمانی باز می باشد؟,3,8.0,سایت دانشکده چه زمانی باز می‌باشد,سایت دانشکده مدت زمانی کامل میباشد,"['سایت', 'دانشکده', 'چه', 'زمانی', 'باز', 'می\u200cباشد']","['سایت', 'دانشکده', 'چه', 'زمان', 'باز', 'بود#باش']"
2182,صندلی های کلاس ها خوب نیستن,4,6.0,صندلی‌های کلاس‌ها خوب نیستن,حمام حمام خوب نیستن,"['صندلی\u200cهای', 'کلاس\u200cها', 'خوب', 'نیستن']","['صندلی', 'کلاس', 'خوب', 'نیستن']"
2183,اگر نظر سنجی اساتید را انجام ندم مشکلی پیش می آد؟,1,12.0,اگر نظر سنجی اساتید را انجام ندم مشکلی پیش می‌آد,اگر نظر سنجی اساتید بنده رعایت ندم مشکلی بهوجود نمیرود,"['اگر', 'نظر', 'سنجی', 'اساتید', 'انجام', 'ندم', 'مشکلی', 'پیش', 'می\u200cآد']","['اگر', 'نظر', 'سنج', 'اساتید', 'انجام', 'ندم', 'مشکل', 'پیش', 'می\u200cآد']"
2184,بیوگرافی اساتید رو کجا میشه مطالعه کرد؟,5,8.0,بیوگرافی اساتید رو کجا میشه مطالعه کرد,بیوگرافی اساتید کالج کجا میتونه پیشبینی کرد,"['بیوگرافی', 'اساتید', 'کجا', 'میشه', 'مطالعه', 'کرد']","['بیوگرافی', 'اساتید', 'کجا', 'میشه', 'مطالعه', 'کرد#کن']"
2185,اگه ارزشیابی اساتید انجام ندیم چی میشه؟,1,8.0,اگه ارزشیابی اساتید انجام ندیم چی میشه,اگه ارزشیابی از خوب ندیم چی بخوریم,"['اگه', 'ارزشیابی', 'اساتید', 'انجام', 'ندیم', 'چی', 'میشه']","['اگه', 'ارزشیابی', 'اساتید', 'انجام', 'ندیم', 'چی', 'میشه']"
2186,یوزرنیم سیستم های سایت چی هست؟,3,7.0,یوزرنیم سیستم‌های سایت چی هست,این اطلاعات سایت چی بسازیم,"['یوزرنیم', 'سیستم\u200cهای', 'سایت', 'چی', 'هست']","['یوزرنیم', 'سیستم\u200cهای', 'سایت', 'چی', '#هست']"
2187,چگونه یک پزشک خوب باشیم؟,5,6.0,چگونه یک پزشک خوب باشیم,چگونه یک رهبر کل باشیم,"['چگونه', 'یک', 'پزشک', 'خوب', 'باشیم']","['چگونه', 'یک', 'پزشک', 'خوب', 'بود#باش']"
2188,مهلت پس دادن کتاب های امانت گرفته شده چقدر است؟,3,11.0,مهلت پس دادن کتاب‌های امانت گرفته شده چقدر است,شرط پس دادن کتابهای امانت یافته شده چقدر باشد,"['مهلت', 'پس', 'دادن', 'کتاب\u200cهای', 'امانت', 'گرفته', 'شده', 'چقدر', 'است']","['مهلت', 'پس', 'دادن', 'کتاب', 'امانت', 'گرفته', 'شده', 'چقدر', '#است']"
2189,لطفا تعداد آبخوری های طبقات را بیشتر کنید.,4,9.0,لطفا تعداد آبخوری‌های طبقات را بیشتر کنید,لطفا شمار ابخوریهای طبقهی همکف بیشتر کنید,"['لطفا', 'تعداد', 'آبخوری\u200cهای', 'طبقات', 'بیشتر', 'کنید']","['لطفا', 'تعداد', 'آبخوری', 'طبقات', 'بیشتر', 'کرد#کن']"
2190,مدرک دیپلمم رو کجا باید تحویل بدم؟,1,8.0,مدرک دیپلمم رو کجا باید تحویل بدم,مدرک دیپلمم برای کجا باید ببینیم بدن,"['مدرک', 'دیپلمم', 'کجا', 'باید', 'تحویل', 'بدم']","['مدرک', 'دیپلم', 'کجا', 'باید', 'تحویل', 'بد']"
2191,نمازخانه کجا است ؟,2,4.0,نمازخانه کجا است,نمازخانه کجا رفت,"['نمازخانه', 'کجا', 'است']","['نمازخانه', 'کجا', '#است']"
2192,اخرین مهلت حذف چه موقع است؟,1,7.0,اخرین مهلت حذف چه موقع است,اخرین مهلت حذف همان موقع باشد,"['اخرین', 'مهلت', 'حذف', 'چه', 'موقع', 'است']","['اخرین', 'مهلت', 'حذف', 'چه', 'موقع', '#است']"
2194,چطور میتوان یک ترم مرخصی گرفت؟,1,7.0,چطور میتوان یک ترم مرخصی گرفت,واقعا میتوان یک ترم یاد گرفت,"['چطور', 'میتوان', 'یک', 'ترم', 'مرخصی', 'گرفت']","['چطور', 'میتوان', 'یک', 'تر', 'مرخص', 'گرفت#گیر']"
2195,خواهشا ترم بعد کلاس ها رو نیمه حضوری کنید.,4,10.0,خواهشا ترم بعد کلاس‌ها رو نیمه حضوری کنید,خواهشا میکنیم بعد کلاسها رو هم رها کنید,"['خواهشا', 'ترم', 'بعد', 'کلاس\u200cها', 'نیمه', 'حضوری', 'کنید']","['خواهشا', 'تر', 'بعد', 'کلاس', 'نیمه', 'حضور', 'کرد#کن']"
2196,تابلو اعلانات کجاست؟,2,4.0,تابلو اعلانات کجاست,نوار اعلانات کجاست,"['تابلو', 'اعلانات', 'کجاست']","['تابلو', 'اعلانات', 'کجاست']"
2197,ظرفیت سایت چقدره؟,2,4.0,ظرفیت سایت چقدره,ظرفیت سایت «,"['ظرفیت', 'سایت', 'چقدره']","['ظرفیت', 'سایت', 'چقدره']"
2198,شروع ترم از چه زمانی است؟,1,7.0,شروع ترم از چه زمانی است,شروع ترم همان بازی زمانی است,"['شروع', 'ترم', 'چه', 'زمانی', 'است']","['شروع', 'تر', 'چه', 'زمان', '#است']"
2199,ویندوز ورژن چند نصب داریم رو کامپیوترا؟,3,8.0,ویندوز ورژن چند نصب داریم رو کامپیوترا,ویندوز ورژن ۵ که داریم رو سلام,"['ویندوز', 'ورژن', 'چند', 'نصب', 'داریم', 'کامپیوترا']","['ویندوز', 'ورژن', 'چند', 'نصب', 'داشت#دار', 'کامپیوترا']"
2200,از کجا کارنامه رسمی بگیرم؟,1,6.0,از کجا کارنامه رسمی بگیرم,از الان کارنامه رسمی بگیرید,"['کجا', 'کارنامه', 'رسمی', 'بگیرم']","['کجا', 'کارنامه', 'رسم', 'گرفت#گیر']"
2201,کجا می تونم کپی بگیرم؟,2,6.0,کجا می‌تونم کپی بگیرم,کجا مجبورم کپی شوم,"['کجا', 'می\u200cتونم', 'کپی', 'بگیرم']","['کجا', 'می\u200cتونم', 'کپی', 'گرفت#گیر']"
2202,فقط بهشتی برای دروس حذف شده شهریه میگیرد,4,8.0,فقط بهشتی برای دروس حذف شده شهریه میگیرد,فقط بهشتی بر دروس حذف شده نظر گرفتند,"['فقط', 'بهشتی', 'دروس', 'حذف', 'شده', 'شهریه', 'میگیرد']","['فقط', 'بهشتی', 'دروس', 'حذف', 'شده', 'شهریه', 'میگیرد']"
2203,شرایط برداشتن بیشتر از 140 واحد چیه؟,1,8.0,شرایط برداشتن بیشتر از واحد چیه,شرایط نوشتن بیشتر از واحد کلید,"['شرایط', 'برداشتن', 'بیشتر', 'واحد', 'چیه']","['شرایط', 'برداشتن', 'بیشتر', 'واحد', 'چیه']"
2204,جشن یلدا کجا برگزار میشه,2,5.0,جشن یلدا کجا برگزار میشه,چله یلدا کجا برگزار شد,"['جشن', 'یلدا', 'کجا', 'برگزار', 'میشه']","['جشن', 'یلدا', 'کجا', 'برگزار', 'میشه']"
